"well","treatment","DIV1","DIV3","DIV4"
"B2","treatX","72.4757142857143","11.3815384615385","6"
"B3","treatX","69.41625","7.005","7.725"
"B4","untreated","20.1784615384615","25.7907692307692",NA
"B5","untreated","9.252",NA,"2.88"
"B6","treatY","12.7690909090909","9.655","11.9"
"B7","treatY","11.135","9.635","9.5"
"C2","treatX","65.6228571428571","5.78769230769231","3.08571428571429"
"C3","treatX","82.6661538461538","8.61230769230769","8.95384615384615"
"C6","treatY","5.136","6.57","7.92"
"C7","treatY","7.855","6.70615384615385","8.49230769230769"
"D2","treatX","92.676","11.9314285714286","9.08571428571429"
"D3","treatX","92.6625","9.628","5.12"
"D5","untreated",NA,"8.1",NA
"D6","treatY","4.66909090909091","5.87538461538461","3.41538461538462"
"D7","treatY","11.8661538461538","9.745","7.7"
"E2","treatX","70.27125","8.17714285714286","6.48"
"E3","treatX","71.02125","6.41625","6.4"
"E4","untreated",NA,"5.63571428571429","38.288"
"E5","untreated","32.42","1.09090909090909","9.1"
"E6","treatY","9.05142857142857","11.8457142857143","10.8"
"E7","treatY","8.69142857142857","10.3071428571429","10.9714285714286"
