"well","treatment","DIV1","DIV3","DIV4"
"B2","treatX","1.20792857142857","0.189692307692308","0.1"
"B3","treatX","1.1569375","0.11675","0.12875"
"B4","untreated","0.336307692307692","0.429846153846154",NA
"B5","untreated","0.1542",NA,"0.048"
"B6","treatY","0.212818181818182","0.160916666666667","0.198333333333333"
"B7","treatY","0.185583333333333","0.160583333333333","0.158333333333333"
"C2","treatX","1.09371428571429","0.0964615384615385","0.0514285714285714"
"C3","treatX","1.37776923076923","0.143538461538462","0.149230769230769"
"C6","treatY","0.0856","0.1095","0.132"
"C7","treatY","0.130916666666667","0.111769230769231","0.141538461538462"
"D2","treatX","1.5446","0.198857142857143","0.151428571428571"
"D3","treatX","1.544375","0.160466666666667","0.0853333333333333"
"D5","untreated",NA,"0.135",NA
"D6","treatY","0.0778181818181818","0.0979230769230769","0.0569230769230769"
"D7","treatY","0.197769230769231","0.162416666666667","0.128333333333333"
"E2","treatX","1.1711875","0.136285714285714","0.108"
"E3","treatX","1.1836875","0.1069375","0.106666666666667"
"E4","untreated",NA,"0.0939285714285714","0.638133333333333"
"E5","untreated","0.540333333333333","0.0181818181818182","0.151666666666667"
"E6","treatY","0.150857142857143","0.197428571428571","0.18"
"E7","treatY","0.144857142857143","0.171785714285714","0.182857142857143"
