"well","treatment","DIV1","DIV3","DIV4"
"B2","treatX","0.738","1.018","0.653"
"B3","treatX","0.564","0.76","1.099"
"B4","untreated","0.881","0.723",NA
"B5","untreated","0.611",NA,"0.733"
"B6","treatY","0.69","0.901","0.957"
"B7","treatY","0.887","0.803","0.797"
"C2","treatX","0.45","0.846","0.904"
"C3","treatX","0.384","1.089","0.685"
"C6","treatY","0.744","0.767","0.863"
"C7","treatY","0.903","0.939","0.737"
"D2","treatX","1.086","0.699","0.801"
"D3","treatX","0.44","0.633","0.91"
"D5","untreated",NA,"0.647",NA
"D6","treatY","0.795","0.861","0.551"
"D7","treatY","1.021","0.789","0.964"
"E2","treatX","0.536","0.951","0.996"
"E3","treatX","0.347","0.914","0.902"
"E4","untreated",NA,"0.561","0.308"
"E5","untreated","0.445","-5.167","0.685"
"E6","treatY","0.876","0.71","0.826"
"E7","treatY","1.001","1.02","0.787"
