"well","treatment","DIV1","DIV3","DIV4"
"B2","treatX","490.08288","653.84384","650.62816"
"B3","treatX","560.09472","804.73088","800.77312"
"B4","untreated","455.07696","653.84384",NA
"B5","untreated","350.0592",NA,"500.4832"
"B6","treatY","385.06512","603.54816","600.57984"
"B7","treatY","420.07104","603.54816","600.57984"
"C2","treatX","490.08288","653.84384","700.67648"
"C3","treatX","455.07696","653.84384","650.62816"
"C6","treatY","350.0592","603.54816","500.4832"
"C7","treatY","420.07104","653.84384","650.62816"
"D2","treatX","525.0888","704.13952","700.67648"
"D3","treatX","560.09472","754.4352","750.7248"
"D5","untreated",NA,"704.13952",NA
"D6","treatY","385.06512","653.84384","650.62816"
"D7","treatY","455.07696","603.54816","600.57984"
"E2","treatX","560.09472","704.13952","750.7248"
"E3","treatX","560.09472","804.73088","750.7248"
"E4","untreated",NA,"704.13952","750.7248"
"E5","untreated","420.07104","553.25248","600.57984"
"E6","treatY","490.08288","704.13952","650.62816"
"E7","treatY","490.08288","704.13952","700.67648"
