"well","treatment","DIV1","DIV3","DIV4"
"B2","treatX","0.6","4.358","4.911"
"B3","treatX","0.621","4.805","2.556"
"B4","untreated","0.637","0.79",NA
"B5","untreated","2.308",NA,"1.698"
"B6","treatY","2.113","3.103","2.499"
"B7","treatY","3.607","4.578","3.583"
"C2","treatX","0.556","3.956","8.305"
"C3","treatX","0.554","6.078","3.372"
"C6","treatY","8.037","5.337","3.788"
"C7","treatY","3.132","3.607","3.454"
"D2","treatX","0.405","3.334","4.104"
"D3","treatX","0.441","3.708","1.91"
"D5","untreated",NA,"2.615",NA
"D6","treatY","5.681","5.151","3.389"
"D7","treatY","2.925","3.864","4.341"
"E2","treatX","0.519","5.198","7.077"
"E3","treatX","0.547","5.932","5.977"
"E4","untreated",NA,"0.402","1.147"
"E5","untreated","0.486","-0.031","0.424"
"E6","treatY","2.259","2.359","2.176"
"E7","treatY","4.282","3.743","3.439"
