"well","treatment","DIV1","DIV3","DIV4"
"B2","treatX","0.00685973995271867","0.0117999478759447","0.0132734979040522"
"B3","treatX","0.00698719199095753","0.0111582437220767","0.0102194696471619"
"B4","untreated","0.00814155172413795","0.0118829837518464",NA
"B5","untreated","0.0285542118863049",NA,"0.0164682517482518"
"B6","treatY","0.0241165092989986","0.0274888556641748","0.0207616864864865"
"B7","treatY","0.0467239314285714","0.0476691604322527","0.048048948787062"
"C2","treatX","0.00859603554340396","0.01479483387927","0.0155646403326403"
"C3","treatX","0.00637071000855432","0.0155253478170044","0.0143846959865417"
"C6","treatY","0.0584157762237762","0.0363076363636364","0.0374006958942241"
"C7","treatY","0.0428678039927404","0.0395625958702065","0.030999670781893"
"D2","treatX","0.00598047202333599","0.0105068444720112","0.0101352149721801"
"D3","treatX","0.0060706431773168","0.011946386852086","0.00868576965426118"
"D5","untreated",NA,"0.0369701775147929",NA
"D6","treatY","0.059451094890511","0.0475223703703704","0.0470888852459016"
"D7","treatY","0.0296767620927937","0.0278695238095238","0.0281432907588279"
"E2","treatX","0.00649227722772277","0.0137210901883053","0.0130034738539507"
"E3","treatX","0.00570942177461365","0.01174186027284","0.0116195266048097"
"E4","untreated",NA,"0.00661633802816902","0.0167097418244406"
"E5","untreated","0.0109184971693258","0.00273824561403501","0.00577849246231157"
"E6","treatY","0.020246634356489","0.0211602057613169","0.0198675259259259"
"E7","treatY","0.0434300903225806","0.0313983752417795","0.037780309194467"
