"well","treatment","DIV1","DIV3","DIV4"
"B2","treatX","0.0390797306397306","0.7244224","0.863581818181818"
"B3","treatX","0.0665718153846153","0.762401684210526","0.448379230769231"
"B4","untreated","0.0726476923076925","0.114110354609929",NA
"B5","untreated","0.200917818181818",NA,"0.0981233333333334"
"B6","treatY","0.401367619047619","0.482859797979798","0.317430743801653"
"B7","treatY","0.517511898734177","0.585163265306123","0.371378333333333"
"C2","treatX","0.0465777777777778","0.49400875","0.985077894736842"
"C3","treatX","0.04736","0.782314105263158","0.610762448979592"
"C6","treatY","1.34733161290323","1.40959058823529","0.814315151515152"
"C7","treatY","0.407244137931034","0.343890256410257","0.317175578947369"
"D2","treatX","0.0554112039312039","0.47717352112676","0.742122962962963"
"D3","treatX","0.0670917972350231","0.774556721311476","0.6162825"
"D5","untreated",NA,"0.3904975",NA
"D6","treatY","0.718658823529412","0.943458823529412","2.872422"
"D7","treatY","0.330357802197802","0.449290505050505","0.48024"
"E2","treatX","0.0376964599092285","0.570910515463918","0.680097349397591"
"E3","treatX","0.0493702102102102","0.652955402298851","0.748325853658536"
"E4","untreated",NA,"0.105170149253731","0.2022575"
"E5","untreated","0.0926403493449782","0.0195099999999995","0.0489327659574469"
"E6","treatY","0.475924050632911","0.289686197183099","0.439691147540984"
"E7","treatY","0.454842162162162","0.261821935483871","0.36275"
