"well","treatment","DIV1","DIV3","DIV4"
"B2","treatX","15.8321428571429","13.7432307692308","8.15061538461539"
"B3","treatX","22.353375","9.406875","10.3836875"
"B4","untreated","5.71546153846154","6.40207692307692",NA
"B5","untreated","3.468",NA,"1.0411"
"B6","treatY","6.36254545454545","4.60441666666667","4.81883333333333"
"B7","treatY","3.80175","4.04266666666667","3.96458333333333"
"C2","treatX","12.1713571428571","4.06976923076923","3.79342857142857"
"C3","treatX","18.6738461538462","8.29246153846154","8.32423076923077"
"C6","treatY","2.2253","7.33","4.158"
"C7","treatY","3.32083333333333","2.57869230769231","3.10623076923077"
"D2","treatX","24.0130666666667","11.36","13.5425"
"D3","treatX","28.9736875","12.7738666666667","9.75866666666667"
"D5","untreated",NA,"2.05078571428571",NA
"D6","treatY","2.02563636363636","3.46723076923077","4.69246153846154"
"D7","treatY","3.92684615384615","4.89433333333333","5.6545"
"E2","treatX","12.838875","6.81971428571429","6.9306"
"E3","treatX","18.5290625","7.4546875","8.69953333333333"
"E4","untreated",NA,"3.16971428571429","10.0542666666667"
"E5","untreated","6.90108333333333","0.468181818181818","2.689"
"E6","treatY","6.57864285714286","4.25042857142857","6.59376923076923"
"E7","treatY","5.22785714285714","5.70614285714286","5.67314285714286"
