"well","treatment","DIV1","DIV3","DIV4"
"B2","treatX","323.940999422798","98.83232335058","81.0734816120492"
"B3","treatX","273.066708037083","86.7455810108327","123.350903244949"
"B4","untreated","296.69772100514","250.225170467093",NA
"B5","untreated","140.937703216498",NA,"179.677961469992"
"B6","treatY","82.9825185892661","71.8572707113385","85.6025610238326"
"B7","treatY","60.3740647136183","62.1998142331983","92.7071769925147"
"C2","treatX","345.73712551656","87.2925955213148","86.1627957029931"
"C3","treatX","273.958871193049","105.169905919703","90.3669483001106"
"C6","treatY","38.7279904660504","38.8253464448949","48.7822092041994"
"C7","treatY","75.0294239379684","82.8255610218629","71.5616118798807"
"D2","treatX","280.150212163441","114.210342210207","103.800063368659"
"D3","treatX","248.759517660437","90.2159655874839","127.741211675488"
"D5","untreated",NA,"188.18981877118",NA
"D6","treatY","30.3916764721599","45.2144994716489","30.2765858944731"
"D7","treatY","77.663564609055","84.2301612899755","64.8718815273962"
"E2","treatX","342.555932840786","97.7193935461272","95.580959074566"
"E3","treatX","300.919206046594","84.304517044313","89.7754449806535"
"E4","untreated",NA,"293.778507462106","227.627339687791"
"E5","untreated","292.748910336213","394.601985476413","321.93865198736"
"E6","treatY","76.9549931589806","88.6184633141088","97.2673180281508"
"E7","treatY","57.244605915957","79.0382134927156","79.9850011626945"
