"well","treatment","DIV1","DIV3","DIV4"
"B2","treatX","6.694","62.384","66.045"
"B3","treatX","10.525","69.316","44.865"
"B4","untreated","9.904","10.599",NA
"B5","untreated","8.018",NA,"6.958"
"B6","treatY","17.619","18.545","16.273"
"B7","treatY","12.063","13.265","8.719"
"C2","treatX","6.411","34.375","64.237"
"C3","treatX","8.431","51.379","43.449"
"C6","treatY","24.032","39.794","22.773"
"C7","treatY","10.448","9.628","11.2"
"D2","treatX","10.262","46.401","74.204"
"D3","treatX","12.048","65.828","71.953"
"D5","untreated",NA,"11.552",NA
"D6","treatY","12.971","20.794","61.925"
"D7","treatY","12.121","17.111","18.051"
"E2","treatX","6.799","42.598","53.277"
"E3","treatX","9.643","56.598","65.378"
"E4","untreated",NA,"16.881","13.102"
"E5","untreated","9.476","7.75","9.436"
"E6","treatY","24.443","14.669","23.09"
"E7","treatY","11.432","9.315","10.602"
