"well","treatment","DIV1","DIV3","DIV4"
"B2","treatX","12","12","12"
"B3","treatX","14","15","15"
"B4","untreated","10","12",NA
"B5","untreated","9",NA,"10"
"B6","treatY","9","10","10"
"B7","treatY","11","11","11"
"C2","treatX","10","12","12"
"C3","treatX","11","12","12"
"C6","treatY","9","10","10"
"C7","treatY","9","8","10"
"D2","treatX","12","12","12"
"D3","treatX","13","14","15"
"D5","untreated",NA,"13",NA
"D6","treatY","7","9","10"
"D7","treatY","12","11","11"
"E2","treatX","11","13","13"
"E3","treatX","13","15","13"
"E4","untreated",NA,"13","14"
"E5","untreated","10","5","9"
"E6","treatY","9","11","8"
"E7","treatY","11","11","14"
