"well","treatment","DIV1","DIV3","DIV4"
"B2","treatX","592","124","65"
"B3","treatX","648","94","103"
"B4","untreated","153","281",NA
"B5","untreated","54",NA,"24"
"B6","treatY","82","97","119"
"B7","treatY","78","97","95"
"C2","treatX","536","63","36"
"C3","treatX","627","94","97"
"C6","treatY","30","66","66"
"C7","treatY","55","73","92"
"D2","treatX","811","140","106"
"D3","treatX","865","121","64"
"D5","untreated",NA,"95",NA
"D6","treatY","30","64","37"
"D7","treatY","90","98","77"
"E2","treatX","656","96","81"
"E3","treatX","663","86","80"
"E4","untreated",NA,"66","479"
"E5","untreated","227","10","91"
"E6","treatY","74","139","117"
"E7","treatY","71","121","128"
