"well","treatment","DIV1","DIV3","DIV4"
"B2","treatX","51.244","86.779","82.199"
"B3","treatX","54.641","86.988","56.115"
"B4","untreated","59.4","71.405",NA
"B5","untreated","36.326",NA,"32.054"
"B6","treatY","60.408","66.067","68.037"
"B7","treatY","59.674","53.279","35.153"
"C2","treatX","58.039","82.676","91.836"
"C3","treatX","62.403","90.022","78.619"
"C6","treatY","95.635","61.166","72.225"
"C7","treatY","43.441","44.543","52.647"
"D2","treatX","66.246","82.373","84.456"
"D3","treatX","64.444","83.335","62.858"
"D5","untreated",NA,"76.801",NA
"D6","treatY","56.538","62.373","81.133"
"D7","treatY","61.724","57.346","41.461"
"E2","treatX","62.495","86.047","84.989"
"E3","treatX","61.881","82.08","82.085"
"E4","untreated",NA,"50.672","83.32"
"E5","untreated","74.853","47.876","54.923"
"E6","treatY","59.895","69.596","65.664"
"E7","treatY","33.021","28.746","34.138"
