"well","treatment","DIV1","DIV3","DIV4"
"B2","treatX","0.813","4.282","7.518"
"B3","treatX","1.102","6.319","2.325"
"B4","untreated","0.723","1.093",NA
"B5","untreated","3.78",NA,"2.317"
"B6","treatY","3.063","3.445","2.61"
"B7","treatY","4.066","5.704","4.497"
"C2","treatX","1.235","4.678","9.185"
"C3","treatX","1.444","5.579","4.922"
"C6","treatY","10.805","6.957","4.39"
"C7","treatY","3.467","3.84","4.689"
"D2","treatX","0.373","4.77","5.124"
"D3","treatX","1.002","5.856","2.099"
"D5","untreated",NA,"4.044",NA
"D6","treatY","7.143","5.981","6.152"
"D7","treatY","2.865","4.896","4.504"
"E2","treatX","0.969","5.466","7.106"
"E3","treatX","1.577","6.487","6.626"
"E4","untreated",NA,"0.716","3.719"
"E5","untreated","1.092","0.006","0.619"
"E6","treatY","2.579","3.323","2.635"
"E7","treatY","4.277","3.669","4.37"
