"well","treatment","DIV1","DIV3","DIV4"
"B2","treatX","0.00863837713316997","0.013913429497916","0.0170559091985372"
"B3","treatX","0.00841860358468126","0.012277490370445","0.0144106984704753"
"B4","untreated","0.0121430088594727","0.0205741970008074",NA
"B5","untreated","0.050724283170869",NA,"0.0265523117296723"
"B6","treatY","0.0353530673905304","0.0439248217861257","0.0292003575507473"
"B7","treatY","0.122499394258419","0.0680010382191225","0.128095328139637"
"C2","treatX","0.0128864920785168","0.0166400678016879","0.0154674829897775"
"C3","treatX","0.00669689526344686","0.0178387607899857","0.0189851686131394"
"C6","treatY","0.0742823233215352","0.0578160246776832","0.0398669586464274"
"C7","treatY","0.0730856158816846","0.075928504894969","0.0633618924799052"
"D2","treatX","0.00595761523173349","0.0124460603693159","0.00974825670473453"
"D3","treatX","0.00815637390080396","0.0121607798479823","0.00758657377751851"
"D5","untreated",NA,"0.0517453823489625",NA
"D6","treatY","0.0897036756541863","0.0557918419022235","0.0662136386986875"
"D7","treatY","0.101096538321803","0.0487301508079632","0.0562291988445203"
"E2","treatX","0.00665339801601462","0.025927957542113","0.0252868741474852"
"E3","treatX","0.00822593856204604","0.0234810426778343","0.0304713691426455"
"E4","untreated",NA,"0.00901243045702835","0.044208687517556"
"E5","untreated","0.0249926587327414","0.000829203953063947","0.00698325067040624"
"E6","treatY","0.0234129683508111","0.0459161546406366","0.0274536254357049"
"E7","treatY","0.0766285857353548","0.05459225285072","0.0689383589762681"
