"well","treatment","DIV1","DIV3","DIV4"
"B2","treatX","151.573135595571","62.2750973704373","52.3040659285037"
"B3","treatX","129.889723770086","49.676134291935","72.3749680277509"
"B4","untreated","134.451596641193","150.741391452214",NA
"B5","untreated","119.157009176443",NA,"131.147348995915"
"B6","treatY","91.2599621664388","58.5556142104612","75.5145611213642"
"B7","treatY","68.2154881399511","93.6210372993721","110.942930956271"
"C2","treatX","173.628017562177","72.4499910257011","58.2278086141781"
"C3","treatX","142.877772469016","87.0332238540498","65.0834699848321"
"C6","treatY","28.1075338128361","21.0771548464482","28.0125305307475"
"C7","treatY","68.4335449992551","91.5859793657093","58.2935978714503"
"D2","treatX","130.605919814781","72.6383865974864","54.0095287941888"
"D3","treatX","96.9535853311868","51.2231306219036","57.3433531661981"
"D5","untreated",NA,"183.99804189897",NA
"D6","treatY","32.4544934125006","56.0912241292047","26.1093625348261"
"D7","treatY","49.1523136492861","64.2606285447754","46.7379040497376"
"E2","treatX","179.937371968803","64.0472404220717","85.9021094115453"
"E3","treatX","135.009321682686","56.2457976913392","73.4734189364719"
"E4","untreated",NA,"124.98709867933","122.503685092076"
"E5","untreated","125.97637757818","26.800716632332","118.964076604686"
"E6","treatY","49.0506306350494","51.2946168851309","84.8974003478155"
"E7","treatY","64.0469396544277","80.2790575012326","81.0548907172135"
