"well","treatment","DIV1","DIV3","DIV4"
"B2","treatX","5.492","70.171","85.692"
"B3","treatX","14.846","84.682","47.075"
"B4","untreated","14.937","14.348",NA
"B5","untreated","6.045",NA,"3.617"
"B6","treatY","16.165","17.947","24.025"
"B7","treatY","9.871","9.404","5.559"
"C2","treatX","8.134","37.532","53.203"
"C3","treatX","6.187","45.859","36.738"
"C6","treatY","31.409","35.718","40.065"
"C7","treatY","10.023","11.01","15.934"
"D2","treatX","13.959","51.742","85.767"
"D3","treatX","13.912","54.866","72.182"
"D5","untreated",NA,"12.131",NA
"D6","treatY","14.4","35.571","65.376"
"D7","treatY","19.367","37.839","26.255"
"E2","treatX","11.519","55.549","67.707"
"E3","treatX","14.094","81.172","87.636"
"E4","untreated",NA,"25.361","15.677"
"E5","untreated","13.738","6.547","12.587"
"E6","treatY","30.902","9.966","32.892"
"E7","treatY","9.537","6.669","8.897"
