"well","treatment","DIV1","DIV3","DIV4"
"B2","treatX","3976","7798","4359"
"B3","treatX","6841","6585","4666"
"B4","untreated","1545","2989",NA
"B5","untreated","441",NA,"167"
"B6","treatY","1480","1836","1969"
"B7","treatY","953","1300","837"
"C2","treatX","3462","2200","2441"
"C3","treatX","5303","4881","4258"
"C6","treatY","745","2706","1503"
"C7","treatY","606","751","1064"
"D2","treatX","8353","6589","8014"
"D3","treatX","10458","8031","4605"
"D5","untreated",NA,"1109",NA
"D6","treatY","441","1414","2477"
"D7","treatY","1103","1694","1408"
"E2","treatX","4494","4132","4422"
"E3","treatX","6422","4924","5361"
"E4","untreated",NA,"1131","6289"
"E5","untreated","2170","124","887"
"E6","treatY","1931","2083","2817"
"E7","treatY","846","1155","1357"
