"well","treatment","DIV1","DIV3","DIV4"
"B2","treatX","4.49273607748184","48.9230769230769","49.9538461538462"
"B3","treatX","5.72395833333333","38.0714285714286","31.6517857142857"
"B4","untreated","13.1538461538462","7.14903846153846","0"
"B5","untreated","1.63055555555556","0","3.65"
"B6","treatY","5.04329004329004","3.85493827160494","6.62698412698413"
"B7","treatY","1.60493827160494","1.96511627906977","1.74431818181818"
"C2","treatX","3.35357142857143","22.8269230769231","49.9761904761905"
"C3","treatX","6.03055555555556","24.978021978022","29.2307692307692"
"C6","treatY","1.35","7.98655913978495","9.73333333333333"
"C7","treatY","1.45555555555556","1.29807692307692","1.81196581196581"
"D2","treatX","6.30444444444444","48.952380952381","59.6964285714286"
"D3","treatX","7.8","43.7933333333333","57.5666666666667"
"D6","treatY","1.55757575757576","2.07444168734491","6.25"
"D7","treatY","2.76923076923077","2.59659090909091","2.9375"
"E2","treatX","3.69895833333333","33.8","40.3833333333333"
"E3","treatX","5.35555555555556","60","52.25"
"E4","untreated","0","28.9642857142857","18.8857142857143"
"E5","untreated","6.70238095238095","0","6.91666666666667"
"E6","treatY","3.28571428571429","4.11923076923077","3.48131868131868"
"E7","treatY","1.42857142857143","1.88940092165899","2.16005291005291"
