"well","treatment","DIV1","DIV3","DIV4"
"B2","treatX","0.3931","0.1179","0.08775"
"B3","treatX","0.3833","0.0935","0.0754"
"B4","untreated","0.043","0.04995","0"
"B5","untreated","0.2299","0","0.0036"
"B6","treatY","0.2795","0.13895","0.15485"
"B7","treatY","0.221","0.18195","0.15915"
"C2","treatX","0.3657","0.02715","0.0782"
"C3","treatX","0.385","0.06535","0.09175"
"C6","treatY","0.0295","0.42275","0.19115"
"C7","treatY","0.0819","0.1079","0.08285"
"D2","treatX","0.3838","0.07975","0.1427"
"D3","treatX","0.3967","0.185","0.05775"
"D6","treatY","0.1496","0.1618","0.16145"
"D7","treatY","0.2382","0.2327","0.2623"
"E2","treatX","0.372","0.075","0.06655"
"E3","treatX","0.3805","0.06685","0.07415"
"E4","untreated","0","0.01665","0.05145"
"E5","untreated","0.3681","0","0.00385"
"E6","treatY","0.1999","0.0693","0.1565"
"E7","treatY","0.2737","0.2519","0.22855"
