"well","treatment","DIV1","DIV3","DIV4"
"B2","treatX","33.8350936458148","66.7646578701102","49.8835202666024"
"B3","treatX","44.7563854578897","63.2248754887559","66.3616611595505"
"B4","untreated","55.4962096311733","62.6984706134452","0"
"B5","untreated","13.1703354806022","0","38.9751552795031"
"B6","treatY","17.4783237188938","17.8127196235246","21.9616535222449"
"B7","treatY","9.22493993421294","11.154355736737","11.9111429180365"
"C2","treatX","27.8288400671578","80.5250869519737","33.3199561752368"
"C3","treatX","46.9996542094728","52.0544432262616","56.6363261479437"
"C6","treatY","11.0529016747858","12.8582984683572","19.615468503292"
"C7","treatY","12.810943749822","11.278755913458","14.1685012005301"
"D2","treatX","49.2575947282363","85.8539229050713","64.1256585713637"
"D3","treatX","58.9761974740253","53.1246814103037","94.0916748781199"
"D6","treatY","6.77062838687681","9.34010448396529","8.64601814867637"
"D7","treatY","13.4643455329693","14.0242164170288","11.8794844007973"
"E2","treatX","29.8782282104849","52.3462867738145","46.1996811521042"
"E3","treatX","42.2981939302452","63.4109256367247","59.0508546186432"
"E4","untreated","0","68.2804047285113","55.8456490155418"
"E5","untreated","32.8804289985863","0","72.296626984127"
"E6","treatY","15.2429157069476","29.2980391814054","18.9298225528446"
"E7","treatY","9.4802403133619","11.8513487475364","12.8333829619425"
