"well","treatment","DIV1","DIV3","DIV4"
"B2","treatX","0.0674310426281935","0.145233900959092","0.142318650010958"
"B3","treatX","0.089600182624576","0.142513368983957","0.146924734748011"
"B4","untreated","0.122361359570662","0.114499114499115","0"
"B5","untreated","0.0255328403653763","0","0.101388888888889"
"B6","treatY","0.0378923402179216","0.0374535204510016","0.0449359595307287"
"B7","treatY","0.0196078431372549","0.0232206650178621","0.0241124725102105"
"C2","treatX","0.0550216805343959","0.168154129480096","0.0958622579466569"
"C3","treatX","0.093982683982684","0.133776705314578","0.127436596101446"
"C6","treatY","0.0228813559322034","0.0292824758525527","0.0381899032173686"
"C7","treatY","0.0266585266585267","0.0192485920011407","0.0295250916856228"
"D2","treatX","0.0985582768803196","0.184146887595163","0.167334067474222"
"D3","treatX","0.11797327955634","0.11836036036036","0.199365079365079"
"D6","treatY","0.0156174039863879","0.0198725872397071","0.0212914214927222"
"D7","treatY","0.0267390040689789","0.0245487752470993","0.0246378192908883"
"E2","treatX","0.0596606182795699","0.112666666666667","0.121362384172302"
"E3","treatX","0.0844502847130968","0.134629768137622","0.140930546190155"
"E4","untreated","0","0.173959673959674","0.128474246841594"
"E5","untreated","0.0637281535814543","0","0.17965367965368"
"E6","treatY","0.0328735796469663","0.0594405594405594","0.0389284836569182"
"E7","treatY","0.0187901247455504","0.0232518573129927","0.0255180173141232"
