"well","treatment","DIV1","DIV3","DIV4"
"B2","treatX","59","7","5"
"B3","treatX","60","7","7"
"B4","untreated","4","16","0"
"B5","untreated","36","0","2"
"B6","treatY","21","27","21"
"B7","treatY","27","43","44"
"C2","treatX","60","4","3"
"C3","treatX","60","7","8"
"C6","treatY","5","31","15"
"C7","treatY","15","32","27"
"D2","treatX","60","6","8"
"D3","treatX","60","10","4"
"D6","treatY","15","31","11"
"D7","treatY","23","44","44"
"E2","treatX","60","5","4"
"E3","treatX","60","3","4"
"E4","untreated","0","2","7"
"E5","untreated","35","0","2"
"E6","treatY","20","20","35"
"E7","treatY","36","62","54"
