"well","treatment","DIV1","DIV3","DIV4"
"B2","treatX","2985","4478","3022"
"B3","treatX","4416","4653","3413"
"B4","untreated","1468","3474","0"
"B5","untreated","543","0","57"
"B6","treatY","1280","1084","1400"
"B7","treatY","547","1130","1025"
"C2","treatX","2358","1133","2018"
"C3","treatX","3831","2090","2903"
"C6","treatY","76","2976","1468"
"C7","treatY","357","807","719"
"D2","treatX","4745","3974","6475"
"D3","treatX","6343","6777","3338"
"D6","treatY","291","966","964"
"D7","treatY","734","1352","1721"
"E2","treatX","2951","2401","2423"
"E3","treatX","3835","2643","3089"
"E4","untreated","0","1505","3610"
"E5","untreated","2707","0","1443"
"E6","treatY","915","946","1246"
"E7","treatY","793","1700","1562"
