"well","treatment","DIV1","DIV3","DIV4"
"B2","treatX","0.0187350262832406","0.0416562009419152","0.0257006696428571"
"B3","treatX","0.0256148752744497","0.0439178169280628","0.0308441923303034"
"B4","untreated","0.0266924939467312","0.0268548312528895",NA
"B5","untreated","0.0237101449275362",NA,"0.01725"
"B6","treatY","0.0172725988700565","0.0226950354609929","0.0292777777777778"
"B7","treatY","0.0188333333333333","0.0206583333333334","0.0227006172839506"
"C2","treatX","0.0171271407317919","0.0333684041184041","0.0261563588850174"
"C3","treatX","0.0195198175078415","0.0229315824282929","0.0213164502164502"
"C6","treatY","0.0138722222222222","0.0154874864718615","0.0153521825396825"
"C7","treatY","0.0277777777777778","0.0214285714285714","0.0249038461538462"
"D2","treatX","0.0320311761507414","0.0576821602726775","0.0464009353741497"
"D3","treatX","0.0368356441945152","0.0478104952050265","0.050829373351008"
"D5","untreated",NA,"0.0181585131448413",NA
"D6","treatY","0.0115972222222222","0.0135991071428572","0.0134147286821705"
"D7","treatY","0.0247109375","0.0238719512195122","0.022171052631579"
"E2","treatX","0.0182392163631388","0.0421515151515151","0.0388373983739837"
"E3","treatX","0.0218184904854681","0.0481798172757475","0.0466301335348954"
"E4","untreated",NA,"0.037006746031746","0.0347875519335251"
"E5","untreated","0.0264613095238095",NA,"0.0260183982683983"
"E6","treatY","0.0224957627118644","0.0363092592592593","0.0222356902356902"
"E7","treatY","0.0163244680851064","0.0177668439716312","0.0179707446808511"
