"well","treatment","DIV1","DIV3","DIV4"
"B2","treatX","0.00826178062593629","0.0546013708876127","0.0383969705308179"
"B3","treatX","0.0128658466965786","0.0494139433875399","0.0331183587820573"
"B4","untreated","0.0151695254851003","0.0169057115350383",NA
"B5","untreated","0.00980468572159522",NA,"0.00450308536203547"
"B6","treatY","0.0110332136824383","0.0145200622972862","0.0240206350058581"
"B7","treatY","0.0136029577275384","0.0164508490912705","0.017000805336305"
"C2","treatX","0.00829111928093839","0.0519035293153993","0.0272256600084831"
"C3","treatX","0.00923013150535543","0.0303731344742023","0.0215721192124341"
"C6","treatY","0.00814122630643992","0.0106381761053545","0.00878686869391989"
"C7","treatY","0.0262901528722664","0.0137358332502752","0.0202238540714739"
"D2","treatX","0.0134191672188793","0.060025864356081","0.0606208610730017"
"D3","treatX","0.0174343086519852","0.0591108964253513","0.0600975420025444"
"D5","untreated",NA,"0.00555913450476578",NA
"D6","treatY","0.00183364896272938","0.00483384710958063","0.00403625960688601"
"D7","treatY","0.0141999764055126","0.0165223554107695","0.016244991690308"
"E2","treatX","0.00701711414979271","0.0507071501775181","0.0432961777855749"
"E3","treatX","0.00965584813731854","0.0530055468414497","0.0665422195588752"
"E4","untreated",NA,"0.00939356792787307","0.0142699586489006"
"E5","untreated","0.00874451175313233",NA,"0.0111995776101326"
"E6","treatY","0.0179147781932358","0.0248529426228483","0.0161285187076656"
"E7","treatY","0.00883769433712339","0.0111556315491745","0.0100085589674816"
