"well","treatment","DIV1","DIV3","DIV4"
"B2","treatX","0.244028776978417","0.54","0.362151898734177"
"B3","treatX","0.241142857142857","0.583166666666667","0.25225"
"B4","untreated","0.187413793103448","0.264313725490196",NA
"B5","untreated","0.9",NA,"1.925"
"B6","treatY","0.503275862068966","0.982391304347826","0.817857142857143"
"B7","treatY","1.21565217391304","1.65724137931034","1.45307692307692"
"C2","treatX","0.264921875","0.958055555555556","0.548"
"C3","treatX","0.203373493975904","0.346725663716814","0.272568807339449"
"C6","treatY","1.07310344827586","0.279714285714286","0.556024096385542"
"C7","treatY","1.7","2.095","1.7732"
"D2","treatX","0.246423357664234","0.735087719298246","0.473734939759036"
"D3","treatX","0.219220779220779","0.496105263157895","0.224117647058824"
"D5","untreated",NA,"0.378571428571429",NA
"D6","treatY","2.2","1.17025641025641","0.356953125"
"D7","treatY","1.01096774193548","1.16425","1.15216216216216"
"E2","treatX","0.294869565217391","0.81093023255814","1.036"
"E3","treatX","0.253834586466165","0.920714285714286","0.599354838709678"
"E4","untreated",NA,"0.130689655172414","0.329864864864865"
"E5","untreated","0.232380952380952",NA,"0.144375"
"E6","treatY","0.560172413793103","0.960909090909091","0.491734693877551"
"E7","treatY","0.72","0.511075268817204","0.515376344086022"
