"well","treatment","DIV1","DIV3","DIV4"
"B2","treatX","18.1285714285714","8.56043956043956","6.575"
"B3","treatX","19.6524822695035","9.60655737704918","9.80246913580247"
"B4","untreated","12.0169491525424","12.6990291262136",NA
"B5","untreated","5.08695652173913",NA,"5.4"
"B6","treatY","5.44067796610169","6.17021276595745","6.01754385964912"
"B7","treatY","5.5","5.73333333333333","5.07407407407407"
"C2","treatX","18.5658914728682","7.7027027027027","7.39024390243902"
"C3","treatX","16.5688622754491","7.39473684210526","7.13636363636364"
"C6","treatY","5.03333333333333","4.85227272727273","4.94047619047619"
"C7","treatY","5.33333333333333","4.95238095238095","5.03846153846154"
"D2","treatX","21.9202898550725","9.25862068965517","9.63095238095238"
"D3","treatX","23.3612903225806","8.35416666666667","10.4807692307692"
"D5","untreated",NA,"9.234375",NA
"D6","treatY","4.5","5.1","5.17054263565892"
"D7","treatY","5.46875","4.82926829268293","4.65789473684211"
"E2","treatX","21.1293103448276","8.13636363636364","8.26829268292683"
"E3","treatX","20.7910447761194","9.32558139534884","7.50793650793651"
"E4","untreated",NA,"11.6","11.4295302013423"
"E5","untreated","12.546875",NA,"12.2727272727273"
"E6","treatY","5.15254237288136","6.4","5.51515151515152"
"E7","treatY","4.76595744680851","4.77659574468085","4.95744680851064"
