"well","treatment","DIV1","DIV3","DIV4"
"B2","treatX","140","91","80"
"B3","treatX","141","61","81"
"B4","untreated","59","103",NA
"B5","untreated","23",NA,"5"
"B6","treatY","59","47","57"
"B7","treatY","24","30","27"
"C2","treatX","129","37","41"
"C3","treatX","167","114","110"
"C6","treatY","30","176","84"
"C7","treatY","12","21","26"
"D2","treatX","138","58","84"
"D3","treatX","155","96","52"
"D5","untreated",NA,"64",NA
"D6","treatY","6","40","129"
"D7","treatY","32","41","38"
"E2","treatX","116","44","41"
"E3","treatX","134","43","63"
"E4","untreated",NA,"30","149"
"E5","untreated","64",NA,"33"
"E6","treatY","59","45","99"
"E7","treatY","47","94","94"
