"well","treatment","DIV1","DIV3","DIV4"
"B2","treatX","9.73571428571429","6.32967032967033","5.4875"
"B3","treatX","11.0921985815603","7.0327868852459","7.01234567901235"
"B4","untreated","7.03389830508475","7.0873786407767",NA
"B5","untreated","4.47826086956522",NA,"5"
"B6","treatY","4.52542372881356","5.12765957446809","5.03508771929825"
"B7","treatY","4.45833333333333","4.66666666666667","4.37037037037037"
"C2","treatX","9.98449612403101","5.91891891891892","6.19512195121951"
"C3","treatX","8.80239520958084","5.80701754385965","5.73636363636364"
"C6","treatY","4.73333333333333","4.57386363636364","4.80952380952381"
"C7","treatY","4.58333333333333","4.42857142857143","4.65384615384615"
"D2","treatX","9.98550724637681","6.72413793103448","6.94047619047619"
"D3","treatX","11.1741935483871","6.63541666666667","7.42307692307692"
"D5","untreated",NA,"6.390625",NA
"D6","treatY","4.16666666666667","4.575","4.86821705426357"
"D7","treatY","4.9375","4.51219512195122","4.39473684210526"
"E2","treatX","11.8448275862069","5.79545454545455","5.97560975609756"
"E3","treatX","10.6119402985075","6.37209302325581","5.93650793650794"
"E4","untreated",NA,"6.76666666666667","6.49664429530201"
"E5","untreated","6.84375",NA,"6.96969696969697"
"E6","treatY","4.35593220338983","5","4.46464646464646"
"E7","treatY","4.36170212765957","4.38297872340426","4.56382978723404"
