"well","treatment","DIV1","DIV3","DIV4"
"B2","treatX","13","13","13"
"B3","treatX","15","15","16"
"B4","untreated","9","10",NA
"B5","untreated","7",NA,"5"
"B6","treatY","8","8","9"
"B7","treatY","6","7","7"
"C2","treatX","14","13","12"
"C3","treatX","12","12","12"
"C6","treatY","7","8","7"
"C7","treatY","6","7","7"
"D2","treatX","14","12","12"
"D3","treatX","15","14","15"
"D5","untreated",NA,"13",NA
"D6","treatY","5","8","8"
"D7","treatY","8","7","6"
"E2","treatX","16","13","14"
"E3","treatX","15","13","12"
"E4","untreated",NA,"10","15"
"E5","untreated","10",NA,"9"
"E6","treatY","7","9","8"
"E7","treatY","7","7","7"
