"well","treatment","DIV1","DIV3","DIV4"
"B2","treatX","4","4","4"
"B3","treatX","4","4","4"
"B4","untreated","4","4",NA
"B5","untreated","4",NA,"5"
"B6","treatY","4","4","4"
"B7","treatY","4","4","4"
"C2","treatX","4","4","4"
"C3","treatX","4","4","4"
"C6","treatY","4","4","4"
"C7","treatY","4","4","4"
"D2","treatX","4","4","4"
"D3","treatX","4","4","4"
"D5","untreated",NA,"4",NA
"D6","treatY","4","4","4"
"D7","treatY","4","4","4"
"E2","treatX","4","4","4"
"E3","treatX","4","4","4"
"E4","untreated",NA,"4","4"
"E5","untreated","4",NA,"5"
"E6","treatY","4","4","4"
"E7","treatY","4","4","4"
