"well","treatment","DIV1","DIV3","DIV4"
"B2","treatX","32.7104008248486","8.66904073002448","9.9189138223647"
"B3","treatX","22.1325878594249","7.74108322324967","9.54900781719784"
"B4","untreated","27.2587466359093","31.2470138557095",NA
"B5","untreated","9.63756177924217",NA,"5.18234165067178"
"B6","treatY","13.1020408163265","10.4354084202951","11.8521078092605"
"B7","treatY","8.26549780839073","7.04918032786885","5.75388492230155"
"C2","treatX","40.1508801341157","10.7102593010147","11.3995485327314"
"C3","treatX","32.5606024947046","15.5477683511619","14.4940915805022"
"C6","treatY","19.3838254172015","19.3037974683544","19.9423354156655"
"C7","treatY","4.58781362007168","6.16844602609727","6.48193963384463"
"D2","treatX","23.9908002220636","6.71333916739592","8.52566129202234"
"D3","treatX","22.3132856790732","8.32209193732489","7.43925743925744"
"D5","untreated",NA,"40.9279778393352",NA
"D6","treatY","3.46153846153846","8.99867666519629","21.847363249263"
"D7","treatY","9.7929490766648","6.70277589708869","5.21201413427562"
"E2","treatX","34.084272006675","7.45522698875469","6.5154718431674"
"E3","treatX","26.8452495663904","6.68444740790132","7.24238248354004"
"E4","untreated",NA,"15.5913978494624","22.5622681505034"
"E5","untreated","27.6992066229734",NA,"25.077399380805"
"E6","treatY","9.42928039702233","9.62245238890745","12.7272727272727"
"E7","treatY","8.7431693989071","11.1747137879542","11.7232704402516"
