"file= exampleRecording_1012016_plate1_DIV1"
" "
"recording time (s): [0.01 ,35]"
" "
"Network Spike analysis at well level"
"well","n","peak.m","peak.sd","durn.m","durn.sd","percent.of.spikes.in.ns","mean.spikes.in.ns","mean.insis","peak.min","peak.max","treatment","t1","t2","t3","t4","t5","t6","t7","t8","t9","t10","t11","t12","t13","t14","t15","t16","t17","t18","t19","t20","t21","t22","t23","t24","t25","t26","t27","t28","t29","t30","t31","t32","t33","t34","t35","t36","t37","t38","t39","t40","t41","t42","t43","t44","t45","t46","t47","t48","t49","t50","t51","t52","t53","t54","t55","t56","t57","t58","t59","t60","t61","t62","t63","t64","t65","t66","t67","t68","t69","t70","t71","t72","t73","t74","t75","t76","t77","t78","t79","t80","t81","t82","t83","t84","t85","t86","t87","t88","t89","t90","t91","t92","t93","t94","t95","t96","t97","t98","t99","t100","t101","t102","t103","t104","t105","t106","t107","t108","t109","t110","t111","t112","t113","t114","t115","t116","t117","t118","t119","t120","t121","t122","t123","t124","t125","t126","t127","t128","t129","t130","t131","t132","t133","t134","t135","t136","t137","t138","t139","t140","t141","t142","t143","t144","t145","t146","t147","t148","t149","t150","t151","t152","t153","t154","t155","t156","t157","t158","t159","t160","t161","t162","t163","t164","t165","t166","t167","t168","t169","t170","t171","t172","t173","t174","t175","t176","t177","t178","t179","t180","t181","t182","t183","t184","t185","t186","t187","t188","t189","t190","t191","t192","t193","t194","t195","t196","t197","t198","t199","t200","t201"
"A1","0",NA,NA,NA,NA,"0",NA,NA,NA,NA,"","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"A2","0",NA,NA,NA,NA,"0",NA,NA,NA,NA,"","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"A3","0",NA,NA,NA,NA,"0",NA,NA,NA,NA,"","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"A4","0",NA,NA,NA,NA,"0",NA,NA,NA,NA,"","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"A5","0",NA,NA,NA,NA,"0",NA,NA,NA,NA,"","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"A6","0",NA,NA,NA,NA,"0",NA,NA,NA,NA,"","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"A7","0",NA,NA,NA,NA,"0",NA,NA,NA,NA,"","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"A8","0",NA,NA,NA,NA,"0",NA,NA,NA,NA,"","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"B1","0",NA,NA,NA,NA,"0",NA,NA,NA,NA,"","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"B2","80","5.4875","1.96161745454477","0.0257006696428571","0.0383969705308179","9.9189138223647","6.575","0.362151898734177","4","13","treatX","3.4625","3.025","3.15","3.3125","3.025","3.5375","2.825","3.175","2.7875","3.0375","3.05","3.075","2.7625","2.975","3.0125","3.0125","3.0625","3.2125","3.175","3.0375","3.025","3.2","2.7","2.9375","2.4625","3.0875","2.375","2.825","2.7875","2.675","2.8125","2.875","2.4625","3.15","3.0625","2.8375","3.0125","2.925","2.95","2.825","2.9625","2.9875","3","3.05","2.7125","2.575","3.25","2.35","2.825","2.425","3.05","2.5","2.7375","2.75","2.8375","2.55","2.6625","2.725","2.425","3","2.325","2.7875","2.5875","2.175","2.7","2.35","2.6","2.5","2.7","2.475","2.6125","2.425","2.6","2.55","2.3125","2.6125","2.2125","2.675","2.4125","2.6875","2.425","2.5625","2.6875","2.4625","2.775","2.6","2.675","2.625","2.475","2.5875","2.5625","2.675","2.5875","2.7375","2.3625","2.875","2.325","2.65","3.125","1.5","5.4875","1.7","3.25","2.95","2.675","2.825","2.475","2.575","2.575","2.75","2.5375","2.4875","2.775","2.525","2.475","2.6625","2.475","2.525","2.5625","2.4875","2.525","2.375","2.375","2.425","2.25","2.6625","2.1875","2.3875","2.5125","2.45","2.15","2.4125","2","2.375","2.2125","2.1625","2.45","2.15","2.1125","2.375","2.1625","2.175","2.25","2.325","2.0875","2.3125","1.925","2.2","2.275","1.9375","2.525","2.225","2.35","1.9625","2.2875","2.3125","1.9","2.175","1.9","2.2625","2.1375","1.9625","2.15","2.025","2.2","2.0875","1.9875","2.1125","2.3125","1.9375","2.125","1.925","2.075","1.825","1.8625","2.2125","1.7375","1.9125","1.925","1.8625","2.1125","1.775","1.7","2.125","1.8625","1.8625","1.8875","2.15","1.7","2.15","1.9125","1.8125","1.9375","1.7875","1.8","2.05","1.6125","1.575","1.8125","1.6","2.075"
"B3","81","7.01234567901235","2.85698191786584","0.0308441923303034","0.0331183587820573","9.54900781719784","9.80246913580247","0.25225","4","16","treatX","3.74074074074074","3.90123456790123","3.37037037037037","3.96296296296296","3.51851851851852","3.92592592592593","3.17283950617284","3.59259259259259","3.82716049382716","3.2962962962963","4.07407407407407","3.30864197530864","3.40740740740741","3.30864197530864","3.53086419753086","3.59259259259259","3.32098765432099","3.20987654320988","3.74074074074074","2.95061728395062","3.2962962962963","3.50617283950617","3.12345679012346","3.4320987654321","3.71604938271605","3.46913580246914","3.71604938271605","3.33333333333333","3.58024691358025","3.40740740740741","3.5679012345679","3.46913580246914","3.5679012345679","3.60493827160494","3.79012345679012","3.81481481481481","3.69135802469136","3.75308641975309","3.41975308641975","3.96296296296296","3.50617283950617","3.55555555555556","3","3.87654320987654","3.32098765432099","4.03703703703704","3.58024691358025","3.2962962962963","3.83950617283951","3.46913580246914","4.22222222222222","4","3.87654320987654","4.04938271604938","3.79012345679012","4.17283950617284","3.65432098765432","4.35802469135802","3.81481481481481","3.79012345679012","4.19753086419753","3.64197530864198","3.83950617283951","3.51851851851852","3.77777777777778","3.53086419753086","3.44444444444444","4.11111111111111","3.04938271604938","3.40740740740741","3.66666666666667","3.20987654320988","3.46913580246914","3.37037037037037","3.45679012345679","3.59259259259259","3.54320987654321","3.32098765432099","3.64197530864198","3.67901234567901","3.60493827160494","3.24691358024691","3.55555555555556","3.88888888888889","3.48148148148148","3.7037037037037","3.40740740740741","3.62962962962963","3.37037037037037","3.54320987654321","3.33333333333333","3.71604938271605","3.33333333333333","3.33333333333333","3.77777777777778","3.80246913580247","3.65432098765432","3.71604938271605","3.85185185185185","3.1358024691358","7.01234567901235","2.97530864197531","4.06172839506173","3.97530864197531","3.49382716049383","4.07407407407407","3.62962962962963","3.62962962962963","3.92592592592593","3.95061728395062","3.55555555555556","3.59259259259259","3.7283950617284","3.33333333333333","3.40740740740741","3.61728395061728","3.51851851851852","3.41975308641975","3.34567901234568","3.48148148148148","3.4320987654321","3.41975308641975","3.44444444444444","3.08641975308642","3.1358024691358","3.34567901234568","3.28395061728395","3.60493827160494","3.64197530864198","3.11111111111111","3.33333333333333","3.14814814814815","3.30864197530864","3.67901234567901","3.18518518518519","3.33333333333333","3.76543209876543","3.08641975308642","3.01234567901235","3.5679012345679","2.97530864197531","3.32098765432099","2.98765432098765","3.35802469135802","3.03703703703704","3.08641975308642","3.02469135802469","3.12345679012346","2.88888888888889","3.45679012345679","2.96296296296296","3.2962962962963","3.44444444444444","3.17283950617284","2.91358024691358","3.41975308641975","2.98765432098765","2.95061728395062","3.08641975308642","3.25925925925926","3.23456790123457","2.95061728395062","3.34567901234568","3.03703703703704","2.97530864197531","2.93827160493827","2.69135802469136","3.14814814814815","2.50617283950617","3.23456790123457","2.88888888888889","2.62962962962963","2.77777777777778","2.51851851851852","2.77777777777778","3.07407407407407","2.93827160493827","2.65432098765432","2.69135802469136","2.79012345679012","2.90123456790123","2.40740740740741","2.92592592592593","2.74074074074074","2.80246913580247","2.93827160493827","2.81481481481481","2.8641975308642","2.85185185185185","2.87654320987654","2.76543209876543","2.7037037037037","2.44444444444444","2.4320987654321","2.81481481481481","2.90123456790123","2.67901234567901","2.1358024691358","2.54320987654321","2.5679012345679","2.81481481481481"
"B4","0",NA,NA,NA,NA,"0",NA,NA,NA,NA,"untreated","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
