"recording time (s): [0.01 ,35]"
" "
"Spike statistics for wells"
"","treatment","nAE","nspikes_by_well","meanfiringrate_by_well","meanfiringrate_by_all_ectctordes","meanfiringrate_by_active_electordes","sdfiringrate_by_active_electordes","meanisis","sdisis"
"A1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A5",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A7",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"B1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"B2","treatX","14","7759","221.648224071814","13.8530140044884","15.8320160051296","16.0074861340025","0.0567735054874112","0.23236445125323"
"B3","treatX","16","12520","357.653791130186","22.3533619456366","22.3533619456366","23.2244897128414","0.0434315547024952","0.15302514973084"
"B4","untreated","13","2601","74.3017181093941","4.64385738183713","5.7155167776457","4.94526021952804","0.047301514683153","0.182321063862973"
"B5","untreated","10","1214","34.6798484370644","2.16749052731652","3.46798484370644","3.05329274700788","0.214326843853821","0.679615162509556"
"B6","treatY","11","2450","69.9881620023127","4.37426012514455","6.36256018202843","6.97839441381903","0.133854825748257","0.885052637439815"
"B7","treatY","12","1597","45.6208549868137","2.85130343667585","3.8017379155678","3.70776895378186","0.250478940063091","0.685653657096486"
"B8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"C1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"C2","treatX","14","5965","170.39974952808","10.649984345505","12.1714106805771","11.1684544050372","0.080569921021677","0.407955767402239"
"C3","treatX","13","8498","242.75893905945","15.1724336912157","18.6737645430347","15.1832576209595","0.0485690889805539","0.106737854558888"
"C4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"C5",NA,NA,NA,NA,NA,NA,NA,NA,NA
"C6","treatY","10","779","22.2533788570619","1.39083617856637","2.22533788570619","1.72461980593976","0.402666736020806","2.50042461528222"
"C7","treatY","12","1395","39.8504024462148","2.49065015288843","3.3208668705179","4.07040742768975","0.241222443962401","0.797265445285033"
"C8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D2","treatX","15","12609","360.196218239658","22.5122636399786","24.0130812159772","21.8703500036687","0.0377732444020962","0.175885235589864"
"D3","treatX","16","16228","463.578731825931","28.9736707391207","28.9736707391207","23.3833104422479","0.0317117246484086","0.0925575091420792"
"D4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D5",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D6","treatY","11","780","22.2819454537975","1.39262159086235","2.02563140489068","2.45943150441346","0.366685461638492","1.20084206590162"
"D7","treatY","13","1787","51.0485083665848","3.19053177291155","3.92680833589114","4.54655755552673","0.21999273957159","0.640409065700604"
"D8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E2","treatX","16","7191","205.422397125972","12.8388998203732","12.8388998203732","13.1589373650905","0.0722942662020906","0.173787166189771"
"E3","treatX","16","10378","296.46414092245","18.5290088076531","18.5290088076531","23.9184957439115","0.0533629492375989","0.343800498980646"
"E4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E5","untreated","12","2899","82.8145639366141","5.17591024603838","6.90121366138451","7.11589757993771","0.0629198198822307","0.440266339005413"
"E6","treatY","14","3224","92.0987078756964","5.75616924223103","6.57847913397832","9.42599421105217","0.109484685358255","0.680271050573157"
"E7","treatY","14","2562","73.1876208367042","4.57422630229401","5.22768720262173","5.9149890837097","0.174972810047096","0.655505255711832"
"E8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"F1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"F2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"F3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"F4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"F5",NA,NA,NA,NA,NA,NA,NA,NA,NA
"F6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"F7",NA,NA,NA,NA,NA,NA,NA,NA,NA
"F8",NA,NA,NA,NA,NA,NA,NA,NA,NA
" "
"Spike statistics for electrodes"
"electrode","nspikes","meanfiringrate","meanisis","sdisis"
"A1_11",NA,NA,NA,NA
"A1_12",NA,NA,NA,NA
"A1_13",NA,NA,NA,NA
"A1_14",NA,NA,NA,NA
"A1_21",NA,NA,NA,NA
"A1_22",NA,NA,NA,NA
"A1_23",NA,NA,NA,NA
"A1_24",NA,NA,NA,NA
"A1_31",NA,NA,NA,NA
"A1_32",NA,NA,NA,NA
"A1_33",NA,NA,NA,NA
"A1_34",NA,NA,NA,NA
"A1_41",NA,NA,NA,NA
"A1_42",NA,NA,NA,NA
"A1_43",NA,NA,NA,NA
"A1_44",NA,NA,NA,NA
"A2_11",NA,NA,NA,NA
"A2_12",NA,NA,NA,NA
"A2_13",NA,NA,NA,NA
"A2_14",NA,NA,NA,NA
"A2_21",NA,NA,NA,NA
"A2_22",NA,NA,NA,NA
"A2_23",NA,NA,NA,NA
"A2_24",NA,NA,NA,NA
"A2_31",NA,NA,NA,NA
"A2_32",NA,NA,NA,NA
"A2_33",NA,NA,NA,NA
"A2_34",NA,NA,NA,NA
"A2_41",NA,NA,NA,NA
"A2_42",NA,NA,NA,NA
"A2_43",NA,NA,NA,NA
"A2_44",NA,NA,NA,NA
"A3_11",NA,NA,NA,NA
"A3_12",NA,NA,NA,NA
"A3_13",NA,NA,NA,NA
"A3_14",NA,NA,NA,NA
"A3_21",NA,NA,NA,NA
"A3_22",NA,NA,NA,NA
"A3_23",NA,NA,NA,NA
"A3_24",NA,NA,NA,NA
"A3_31",NA,NA,NA,NA
"A3_32",NA,NA,NA,NA
"A3_33",NA,NA,NA,NA
"A3_34",NA,NA,NA,NA
"A3_41",NA,NA,NA,NA
"A3_42",NA,NA,NA,NA
"A3_43",NA,NA,NA,NA
"A3_44",NA,NA,NA,NA
"A4_11",NA,NA,NA,NA
"A4_12",NA,NA,NA,NA
"A4_13",NA,NA,NA,NA
"A4_14",NA,NA,NA,NA
"A4_21",NA,NA,NA,NA
"A4_22",NA,NA,NA,NA
"A4_23",NA,NA,NA,NA
"A4_24",NA,NA,NA,NA
"A4_31",NA,NA,NA,NA
"A4_32",NA,NA,NA,NA
"A4_33",NA,NA,NA,NA
"A4_34",NA,NA,NA,NA
"A4_41",NA,NA,NA,NA
"A4_42",NA,NA,NA,NA
"A4_43",NA,NA,NA,NA
"A4_44",NA,NA,NA,NA
"A5_11",NA,NA,NA,NA
"A5_12",NA,NA,NA,NA
"A5_13",NA,NA,NA,NA
"A5_14",NA,NA,NA,NA
"A5_21",NA,NA,NA,NA
"A5_22",NA,NA,NA,NA
"A5_23",NA,NA,NA,NA
"A5_24",NA,NA,NA,NA
"A5_31",NA,NA,NA,NA
"A5_32",NA,NA,NA,NA
"A5_33",NA,NA,NA,NA
"A5_34",NA,NA,NA,NA
"A5_41",NA,NA,NA,NA
"A5_42",NA,NA,NA,NA
"A5_43",NA,NA,NA,NA
"A5_44",NA,NA,NA,NA
"A6_11",NA,NA,NA,NA
"A6_12",NA,NA,NA,NA
"A6_13",NA,NA,NA,NA
"A6_14",NA,NA,NA,NA
"A6_21",NA,NA,NA,NA
"A6_22",NA,NA,NA,NA
"A6_23",NA,NA,NA,NA
"A6_24",NA,NA,NA,NA
"A6_31",NA,NA,NA,NA
"A6_32",NA,NA,NA,NA
"A6_33",NA,NA,NA,NA
"A6_34",NA,NA,NA,NA
"A6_41",NA,NA,NA,NA
"A6_42",NA,NA,NA,NA
"A6_43",NA,NA,NA,NA
"A6_44",NA,NA,NA,NA
"A7_11",NA,NA,NA,NA
"A7_12",NA,NA,NA,NA
"A7_13",NA,NA,NA,NA
"A7_14",NA,NA,NA,NA
"A7_21",NA,NA,NA,NA
"A7_22",NA,NA,NA,NA
"A7_23",NA,NA,NA,NA
"A7_24",NA,NA,NA,NA
"A7_31",NA,NA,NA,NA
"A7_32",NA,NA,NA,NA
"A7_33",NA,NA,NA,NA
"A7_34",NA,NA,NA,NA
"A7_41",NA,NA,NA,NA
"A7_42",NA,NA,NA,NA
"A7_43",NA,NA,NA,NA
"A7_44",NA,NA,NA,NA
"A8_11",NA,NA,NA,NA
"A8_12",NA,NA,NA,NA
"A8_13",NA,NA,NA,NA
"A8_14",NA,NA,NA,NA
"A8_21",NA,NA,NA,NA
"A8_22",NA,NA,NA,NA
"A8_23",NA,NA,NA,NA
"A8_24",NA,NA,NA,NA
"A8_31",NA,NA,NA,NA
"A8_32",NA,NA,NA,NA
"A8_33",NA,NA,NA,NA
"A8_34",NA,NA,NA,NA
