"recording time (s): [0.01048 ,50]"
" "
"Spike statistics for wells"
"","treatment","nAE","nspikes_by_well","meanfiringrate_by_well","meanfiringrate_by_all_ectctordes","meanfiringrate_by_active_electordes","sdfiringrate_by_active_electordes","meanisis","sdisis"
"A1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A5",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A7",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"B1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"B2","treatX","13","8986","178.663455787853","11.1664659867408","13.7433427529118","13.2002625011922","0.0693661428730636","0.615133256938217"
"B3","treatX","16","7570","150.509944392839","9.40687152455241","9.40687152455241","9.65951033835771","0.0691318294943077","0.803999651349864"
"B4","untreated","13","4186","83.2278239403464","5.20173899627165","6.40214030310357","5.62207527294244","0.0831254636951833","0.492162452397392"
"B5",NA,NA,NA,NA,NA,NA,NA,NA,NA
"B6","treatY","12","2779","55.253254355046","3.45332839719038","4.6044378629205","5.0423121107459","0.187628825442718","0.98742851036988"
"B7","treatY","12","2440","48.5131128558158","3.03206955348849","4.04275940465132","3.77897617992552","0.239563723228995","0.721458921241846"
"B8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"C1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"C2","treatX","13","2661","52.9071284054615","3.30669552534134","4.06977910811242","3.48455549414086","0.161955951661631","1.13579393624362"
"C3","treatX","13","5422","107.802499141079","6.73765619631746","8.29249993392918","6.69852513640619","0.108150075799593","0.904239592570086"
"C4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"C5",NA,NA,NA,NA,NA,NA,NA,NA,NA
"C6","treatY","12","4424","87.9598406861186","5.49749004288241","7.32998672384321","6.34671760917083","0.110779728014506","0.502917457811325"
"C7","treatY","13","1686","33.5217656864367","2.09511035540229","2.57859736049513","3.48832555204414","0.323226395696354","1.86272733630031"
"C8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D2","treatX","14","7999","159.039503989209","9.93996899932559","11.3599645706578","9.78892227775016","0.0661911083281152","0.722810539391476"
"D3","treatX","15","9637","191.606913357171","11.9754320848232","12.7737942238114","11.3712187605316","0.0616760839742257","0.620240936328124"
"D4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D5","untreated","14","1444","28.7102192474582","1.79438870296614","2.05072994624702","2.12628060391434","0.233448839160839","1.1083317483785"
"D6","treatY","13","2267","45.0734536246453","2.81709085154033","3.46718874035733","3.55629195993161","0.21544099378882","0.909184916900069"
"D7","treatY","12","2954","58.7326784328197","3.67079240205123","4.89438986940164","6.02892607106687","0.179930659415364","0.64265529313021"
"D8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E2","treatX","14","4802","95.4753966941097","5.96721229338186","6.81967119243641","7.16801397390284","0.110486683375104","0.958695183390497"
"E3","treatX","16","5999","119.274657386082","7.4546660866301","7.4546660866301","8.72959441064746","0.0936071134882166","0.792802888802901"
"E4","untreated","14","2232","44.3775688090906","2.77359805056816","3.16982634350647","3.09399869090061","0.0265625247971145","0.0607796740658376"
"E5","untreated","11","259","5.14954763510504","0.321846727194065","0.468140694100458","0.419171623552724","0.00836290322580647","0.0109413247593048"
"E6","treatY","14","2993","59.5080929415807","3.71925580884879","4.25057806725576","5.61813005729843","0.175642618328298","0.858320355148618"
"E7","treatY","14","4018","79.8875768256836","4.99297355160523","5.70625548754883","6.43886920207729","0.16022033966034","0.728454940840721"
"E8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"F1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"F2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"F3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"F4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"F5",NA,NA,NA,NA,NA,NA,NA,NA,NA
"F6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"F7",NA,NA,NA,NA,NA,NA,NA,NA,NA
"F8",NA,NA,NA,NA,NA,NA,NA,NA,NA
" "
"Spike statistics for electrodes"
"electrode","nspikes","meanfiringrate","meanisis","sdisis"
"A1_11",NA,NA,NA,NA
"A1_12",NA,NA,NA,NA
"A1_13",NA,NA,NA,NA
"A1_14",NA,NA,NA,NA
"A1_21",NA,NA,NA,NA
"A1_22",NA,NA,NA,NA
"A1_23",NA,NA,NA,NA
"A1_24",NA,NA,NA,NA
"A1_31",NA,NA,NA,NA
"A1_32",NA,NA,NA,NA
"A1_33",NA,NA,NA,NA
"A1_34",NA,NA,NA,NA
"A1_41",NA,NA,NA,NA
"A1_42",NA,NA,NA,NA
"A1_43",NA,NA,NA,NA
"A1_44",NA,NA,NA,NA
"A2_11",NA,NA,NA,NA
"A2_12",NA,NA,NA,NA
"A2_13",NA,NA,NA,NA
"A2_14",NA,NA,NA,NA
"A2_21",NA,NA,NA,NA
"A2_22",NA,NA,NA,NA
"A2_23",NA,NA,NA,NA
"A2_24",NA,NA,NA,NA
"A2_31",NA,NA,NA,NA
"A2_32",NA,NA,NA,NA
"A2_33",NA,NA,NA,NA
"A2_34",NA,NA,NA,NA
"A2_41",NA,NA,NA,NA
"A2_42",NA,NA,NA,NA
"A2_43",NA,NA,NA,NA
"A2_44",NA,NA,NA,NA
"A3_11",NA,NA,NA,NA
"A3_12",NA,NA,NA,NA
"A3_13",NA,NA,NA,NA
"A3_14",NA,NA,NA,NA
"A3_21",NA,NA,NA,NA
"A3_22",NA,NA,NA,NA
"A3_23",NA,NA,NA,NA
"A3_24",NA,NA,NA,NA
"A3_31",NA,NA,NA,NA
"A3_32",NA,NA,NA,NA
"A3_33",NA,NA,NA,NA
"A3_34",NA,NA,NA,NA
"A3_41",NA,NA,NA,NA
"A3_42",NA,NA,NA,NA
"A3_43",NA,NA,NA,NA
"A3_44",NA,NA,NA,NA
"A4_11",NA,NA,NA,NA
"A4_12",NA,NA,NA,NA
"A4_13",NA,NA,NA,NA
"A4_14",NA,NA,NA,NA
"A4_21",NA,NA,NA,NA
"A4_22",NA,NA,NA,NA
"A4_23",NA,NA,NA,NA
"A4_24",NA,NA,NA,NA
"A4_31",NA,NA,NA,NA
"A4_32",NA,NA,NA,NA
"A4_33",NA,NA,NA,NA
"A4_34",NA,NA,NA,NA
"A4_41",NA,NA,NA,NA
"A4_42",NA,NA,NA,NA
"A4_43",NA,NA,NA,NA
"A4_44",NA,NA,NA,NA
"A5_11",NA,NA,NA,NA
"A5_12",NA,NA,NA,NA
"A5_13",NA,NA,NA,NA
"A5_14",NA,NA,NA,NA
"A5_21",NA,NA,NA,NA
"A5_22",NA,NA,NA,NA
"A5_23",NA,NA,NA,NA
"A5_24",NA,NA,NA,NA
"A5_31",NA,NA,NA,NA
"A5_32",NA,NA,NA,NA
"A5_33",NA,NA,NA,NA
"A5_34",NA,NA,NA,NA
"A5_41",NA,NA,NA,NA
"A5_42",NA,NA,NA,NA
"A5_43",NA,NA,NA,NA
"A5_44",NA,NA,NA,NA
"A6_11",NA,NA,NA,NA
"A6_12",NA,NA,NA,NA
"A6_13",NA,NA,NA,NA
"A6_14",NA,NA,NA,NA
"A6_21",NA,NA,NA,NA
"A6_22",NA,NA,NA,NA
"A6_23",NA,NA,NA,NA
"A6_24",NA,NA,NA,NA
"A6_31",NA,NA,NA,NA
"A6_32",NA,NA,NA,NA
"A6_33",NA,NA,NA,NA
"A6_34",NA,NA,NA,NA
"A6_41",NA,NA,NA,NA
"A6_42",NA,NA,NA,NA
"A6_43",NA,NA,NA,NA
"A6_44",NA,NA,NA,NA
"A7_11",NA,NA,NA,NA
"A7_12",NA,NA,NA,NA
"A7_13",NA,NA,NA,NA
"A7_14",NA,NA,NA,NA
"A7_21",NA,NA,NA,NA
"A7_22",NA,NA,NA,NA
"A7_23",NA,NA,NA,NA
"A7_24",NA,NA,NA,NA
"A7_31",NA,NA,NA,NA
"A7_32",NA,NA,NA,NA
"A7_33",NA,NA,NA,NA
"A7_34",NA,NA,NA,NA
"A7_41",NA,NA,NA,NA
"A7_42",NA,NA,NA,NA
"A7_43",NA,NA,NA,NA
"A7_44",NA,NA,NA,NA
"A8_11",NA,NA,NA,NA
"A8_12",NA,NA,NA,NA
"A8_13",NA,NA,NA,NA
"A8_14",NA,NA,NA,NA
"A8_21",NA,NA,NA,NA
"A8_22",NA,NA,NA,NA
"A8_23",NA,NA,NA,NA
"A8_24",NA,NA,NA,NA
"A8_31",NA,NA,NA,NA
"A8_32",NA,NA,NA,NA
"A8_33",NA,NA,NA,NA
"A8_34",NA,NA,NA,NA
"A8_41",NA,NA,NA,NA
"A8_42",NA,NA,NA,NA
