"well","treatment","DIV1","DIV3","DIV4"
"B2","treatX","15.8320160051296","13.7433427529118","8.15058481329797"
"B3","treatX","22.3533619456366","9.40687152455241","10.3837151776523"
"B4","untreated","5.7155167776457","6.40214030310357","0"
"B5","untreated","3.46798484370644","0","1.04099398341443"
"B6","treatY","6.36256018202843","4.6044378629205","4.81867656430159"
"B7","treatY","3.8017379155678","4.04275940465132","3.96450203856327"
"C2","treatX","12.1714106805771","4.06977910811242","3.79347684112359"
"C3","treatX","18.6737645430347","8.29249993392918","8.32426312442425"
"C6","treatY","2.22533788570619","7.32998672384321","4.15798172645955"
"C7","treatY","3.3208668705179","2.57859736049513","3.10622890961252"
"D2","treatX","24.0130812159772","11.3599645706578","13.5426266912798"
"D3","treatX","28.9736707391207","12.7737942238114","9.75856931861049"
"D6","treatY","2.02563140489068","3.46718874035733","4.69238835281891"
"D7","treatY","3.92680833589114","4.89438986940164","5.65453545693442"
"E2","treatX","12.8388998203732","6.81967119243641","6.93063556712127"
"E3","treatX","18.5290088076531","7.4546660866301","8.69959271360158"
"E4","untreated","0","3.16982634350647","10.0542835403866"
"E5","untreated","6.90121366138451","0.468140694100458","2.68906795139844"
"E6","treatY","6.57847913397832","4.25057806725576","6.59362791798006"
"E7","treatY","5.22768720262173","5.70625548754883","5.67308895540492"
