"well","treatment","DIV1","DIV3","DIV4"
"B2","treatX","221.648224071814","178.663455787853","105.957602572874"
"B3","treatX","357.653791130186","150.509944392839","166.139442842437"
"B4","untreated","74.3017181093941","83.2278239403464","0"
"B5","untreated","34.6798484370644","0","10.4099398341443"
"B6","treatY","69.9881620023127","55.253254355046","57.8241187716191"
"B7","treatY","45.6208549868137","48.5131128558158","47.5740244627592"
"C2","treatX","170.39974952808","52.9071284054615","53.1086757757303"
"C3","treatX","242.75893905945","107.802499141079","108.215420617515"
"C6","treatY","22.2533788570619","87.9598406861186","41.5798172645955"
"C7","treatY","39.8504024462148","33.5217656864367","40.3809758249628"
"D2","treatX","360.196218239658","159.039503989209","189.596773677918"
"D3","treatX","463.578731825931","191.606913357171","146.378539779157"
"D6","treatY","22.2819454537975","45.0734536246453","61.0010485866459"
"D7","treatY","51.0485083665848","58.7326784328197","67.854425483213"
"E2","treatX","205.422397125972","95.4753966941097","103.959533506819"
"E3","treatX","296.46414092245","119.274657386082","130.493890704024"
"E4","untreated","0","44.3775688090906","150.814253105799"
"E5","untreated","82.8145639366141","5.14954763510504","32.2688154167812"
"E6","treatY","92.0987078756964","59.5080929415807","85.7171629337408"
"E7","treatY","73.1876208367042","79.8875768256836","79.423245375669"
