"well","treatment","DIV1","DIV3","DIV4"
"B2","treatX","0.0567735054874112","0.0693661428730636","0.0678302759924386"
"B3","treatX","0.0434315547024952","0.0691318294943077","0.0382887094830702"
"B4","untreated","0.047301514683153","0.0831254636951833","0"
"B5","untreated","0.214326843853821","0","0.159605636007828"
"B6","treatY","0.133854825748257","0.187628825442718","0.170823122831367"
"B7","treatY","0.250478940063091","0.239563723228995","0.238391523849726"
"C2","treatX","0.080569921021677","0.161955951661631","0.108318335854766"
"C3","treatX","0.0485690889805539","0.108150075799593","0.0717442754025541"
"C6","treatY","0.402666736020806","0.110779728014506","0.22911439884114"
"C7","treatY","0.241222443962401","0.323226395696354","0.267044940239044"
"D2","treatX","0.0377732444020962","0.0661911083281152","0.0503020073878628"
"D3","treatX","0.0317117246484086","0.0616760839742257","0.0341866228970045"
"D6","treatY","0.366685461638492","0.21544099378882","0.171621421052632"
"D7","treatY","0.21999273957159","0.179930659415364","0.158271631205674"
"E2","treatX","0.0722942662020906","0.110486683375104","0.110678565921357"
"E3","treatX","0.0533629492375989","0.0936071134882166","0.0828146224677716"
"E4","untreated","0","0.0265625247971145","0.0938737289260587"
"E5","untreated","0.0629198198822307","0.00836290322580647","0.0367727011852776"
"E6","treatY","0.109484685358255","0.175642618328298","0.125721449614216"
"E7","treatY","0.174972810047096","0.16022033966034","0.163852279727342"
