"well","treatment","DIV1","DIV3","DIV4"
"B2","treatX","14","13","13"
"B3","treatX","16","16","16"
"B4","untreated","13","13","0"
"B5","untreated","10","0","10"
"B6","treatY","11","12","12"
"B7","treatY","12","12","12"
"C2","treatX","14","13","14"
"C3","treatX","13","13","13"
"C6","treatY","10","12","10"
"C7","treatY","12","13","13"
"D2","treatX","15","14","14"
"D3","treatX","16","15","15"
"D6","treatY","11","13","13"
"D7","treatY","13","12","12"
"E2","treatX","16","14","15"
"E3","treatX","16","16","15"
"E4","untreated","0","14","15"
"E5","untreated","12","11","12"
"E6","treatY","14","14","13"
"E7","treatY","14","14","14"
