"well","treatment","DIV1","DIV3","DIV4"
"B2","treatX","7759","8986","5303"
"B3","treatX","12520","7570","8315"
"B4","untreated","2601","4186","0"
"B5","untreated","1214","0","521"
"B6","treatY","2450","2779","2894"
"B7","treatY","1597","2440","2381"
"C2","treatX","5965","2661","2658"
"C3","treatX","8498","5422","5416"
"C6","treatY","779","4424","2081"
"C7","treatY","1395","1686","2021"
"D2","treatX","12609","7999","9489"
"D3","treatX","16228","9637","7326"
"D6","treatY","780","2267","3053"
"D7","treatY","1787","2954","3396"
"E2","treatX","7191","4802","5203"
"E3","treatX","10378","5999","6531"
"E4","untreated","0","2232","7548"
"E5","untreated","2899","259","1615"
"E6","treatY","3224","2993","4290"
"E7","treatY","2562","4018","3975"
