"well","treatment","DIV1","DIV3","DIV4"
"B2","treatX","16.0074861340025","13.2002625011922","7.26208760190432"
"B3","treatX","23.2244897128414","9.65951033835771","10.6934065931373"
"B4","untreated","4.94526021952804","5.62207527294244","0"
"B5","untreated","3.05329274700788","0","0.858495666533505"
"B6","treatY","6.97839441381903","5.0423121107459","5.10990885960835"
"B7","treatY","3.70776895378186","3.77897617992552","4.01430160867985"
"C2","treatX","11.1684544050372","3.48455549414086","3.39130526918442"
"C3","treatX","15.1832576209595","6.69852513640619","6.88600589745153"
"C6","treatY","1.72461980593976","6.34671760917083","2.70930519409603"
"C7","treatY","4.07040742768975","3.48832555204414","3.70761277554831"
"D2","treatX","21.8703500036687","9.78892227775016","10.0740829094226"
"D3","treatX","23.3833104422479","11.3712187605316","7.47146090015917"
"D6","treatY","2.45943150441346","3.55629195993161","4.32139002328544"
"D7","treatY","4.54655755552673","6.02892607106687","9.11302313438966"
"E2","treatX","13.1589373650905","7.16801397390284","7.7564496539708"
"E3","treatX","23.9184957439115","8.72959441064746","9.3330292804424"
"E4","untreated","0","3.09399869090061","11.4724421062358"
"E5","untreated","7.11589757993771","0.419171623552724","2.88205236733199"
"E6","treatY","9.42599421105217","5.61813005729843","8.76531211891384"
"E7","treatY","5.9149890837097","6.43886920207729","6.25537987478743"
