"well","treatment","DIV1","DIV3","DIV4"
"B2","treatX","0.23236445125323","0.615133256938217","0.765112128030085"
"B3","treatX","0.15302514973084","0.803999651349864","0.279820403420932"
"B4","untreated","0.182321063862973","0.492162452397392","0"
"B5","untreated","0.679615162509556","0","0.442483034599707"
"B6","treatY","0.885052637439815","0.98742851036988","0.78971055228489"
"B7","treatY","0.685653657096486","0.721458921241846","0.660185135549944"
"C2","treatX","0.407955767402239","1.13579393624362","1.22568350780869"
"C3","treatX","0.106737854558888","0.904239592570086","0.667887842258015"
"C6","treatY","2.50042461528222","0.502917457811325","1.06114385958684"
"C7","treatY","0.797265445285033","1.86272733630031","1.11129036887721"
"D2","treatX","0.175885235589864","0.722810539391476","0.599292976449062"
"D3","treatX","0.0925575091420792","0.620240936328124","0.47196413836668"
"D6","treatY","1.20084206590162","0.909184916900069","1.23384813935776"
"D7","treatY","0.640409065700604","0.64265529313021","0.666055313802965"
"E2","treatX","0.173787166189771","0.958695183390497","1.07580843675674"
"E3","treatX","0.343800498980646","0.792802888802901","0.820195705896437"
"E4","untreated","0","0.0607796740658376","0.934450230551282"
"E5","untreated","0.440266339005413","0.0109413247593048","0.134297141520591"
"E6","treatY","0.680271050573157","0.858320355148618","0.759619944326054"
"E7","treatY","0.655505255711832","0.728454940840721","0.671452630621674"
